,Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year
308697,PHM,2017-01-29,2,Confirmed,4,2017
308727,NNZ,2017-02-18,3,Confirmed,7,2017
308729,NNZ,2017-02-19,5,Confirmed,7,2017
308733,NNZ,2017-02-12,2,Confirmed,6,2017
308754,TAC,2017-02-18,2,Cancelled,7,2017
308759,TAC,2016-12-14,1,Cancelled,50,2016
308760,TAC,2017-01-14,1,Cancelled,2,2017
308802,SFOBC,2017-01-21,4,Cancelled,3,2017
308805,VPK,2017-02-14,4,Cancelled,7,2017
308810,VPZ,2017-01-24,3,Cancelled,4,2017
308813,VPZ,2017-02-16,2,Cancelled,7,2017
308814,VPZ,2017-02-19,1,Cancelled,7,2017
308817,MIAVB,2016-08-12,2,Cancelled,32,2016
308823,MIAVB,2017-01-05,1,Confirmed,1,2017
308826,MIAVB,2017-01-12,3,Cancelled,2,2017
308830,MPT,2017-02-07,1,Cancelled,6,2017
308833,VPK,2017-01-24,3,Cancelled,4,2017
308837,SFOBC,2017-01-29,2,Cancelled,4,2017
308839,SFOBC,2017-02-05,10,Cancelled,5,2017
308842,SFOBC,2017-02-17,1,Confirmed,7,2017
308934,SMN,2017-02-16,4,Confirmed,7,2017
308945,SOL,2017-01-06,2,Confirmed,1,2017
308949,SOL,2017-02-18,8,Confirmed,7,2017
308964,SHR,2017-02-19,3,Confirmed,7,2017
308972,SHR,2017-02-08,2,Confirmed,6,2017
308984,SLM,2017-02-19,4,Confirmed,7,2017
308987,SMN,2017-01-06,1,Cancelled,1,2017
308991,MPT,2017-02-07,1,Confirmed,6,2017
308996,DCP,2017-02-11,3,Cancelled,6,2017
308997,DCP,2017-02-12,4,Confirmed,6,2017
309026,DCM,2017-02-19,3,Confirmed,7,2017
309052,DCP,2017-02-19,1,Confirmed,7,2017
309063,MIAEP,2017-02-18,6,Confirmed,7,2017
309064,MIAEP,2017-02-19,25,Confirmed,7,2017
309078,NYCAA,2016-11-23,1,Cancelled,47,2016
309107,DNV,2017-02-14,11,Cancelled,7,2017
309118,DCM,2017-01-31,3,Confirmed,5,2017
309160,ALG,2017-02-19,18,Confirmed,7,2017
309172,ALX,2017-02-18,2,Confirmed,7,2017
309177,MIAAG,2016-08-09,1,Cancelled,32,2016
309180,CDL,2017-02-05,1,Cancelled,5,2017
309198,CNR,2017-01-28,3,Cancelled,4,2017
309201,CNR,2017-02-03,4,Cancelled,5,2017
309205,CNR,2017-02-19,4,Confirmed,7,2017
309210,DCM,2017-01-27,7,Cancelled,4,2017
309213,CLY,2017-02-09,4,Cancelled,6,2017
309223,CHP,2017-02-18,1,Confirmed,7,2017
309240,CLY,2017-02-18,6,Confirmed,7,2017
309254,JRY,2017-01-29,1,Confirmed,4,2017
309258,JRY,2017-02-13,1,Cancelled,7,2017
309263,LRN,2017-02-10,2,Cancelled,6,2017
309278,LAXWM,2017-02-19,9,Confirmed,7,2017
309312,MLW,2017-01-30,3,Confirmed,5,2017
309316,MLW,2017-02-17,2,Cancelled,7,2017
309317,MLW,2017-02-18,2,Confirmed,7,2017
309331,MNB,2017-02-16,2,Cancelled,7,2017
309332,MNB,2017-02-17,8,Cancelled,7,2017
309362,MAD,2017-01-13,3,Cancelled,2,2017
309376,GLE,2017-01-31,1,Cancelled,5,2017
309379,GLE,2017-02-04,1,Cancelled,5,2017
309381,GLE,2017-02-15,3,Confirmed,7,2017
309383,GLE,2017-02-11,1,Cancelled,6,2017
309384,GLE,2017-02-13,2,Confirmed,7,2017
309395,GRG,2017-02-08,1,Confirmed,6,2017
309409,NYCAA,2017-02-17,7,Cancelled,7,2017
309410,NYCAA,2017-02-18,5,Confirmed,7,2017
309425,FAS,2017-01-26,1,Cancelled,4,2017
309435,FAS,2017-02-16,2,Cancelled,7,2017
309443,HEL,2017-01-28,1,Confirmed,4,2017
309446,HEL,2017-02-19,3,Confirmed,7,2017
309463,HVZ,2017-02-09,1,Cancelled,6,2017
309488,GRY,2017-02-19,19,Confirmed,7,2017
309514,PRP,2017-01-24,1,Cancelled,4,2017
309516,PLD,2017-01-06,2,Cancelled,1,2017
309517,PHP,2017-02-20,2,Cancelled,8,2017
309532,PRP,2017-02-14,1,Confirmed,7,2017
309535,SAV,2017-02-20,3,Confirmed,8,2017
309574,NTCME,2017-02-20,10,Confirmed,8,2017
309629,PHM,2017-02-14,4,Cancelled,7,2017
309636,NNZ,2017-02-20,3,Confirmed,8,2017
309649,ONX,2017-02-19,18,Confirmed,7,2017
309662,TAC,2017-01-10,1,Cancelled,2,2017
309700,MIAVB,2016-12-21,1,Confirmed,51,2016
309703,VPZ,2017-02-20,3,Confirmed,8,2017
309720,SFOBC,2017-02-15,3,Confirmed,7,2017
309721,SFOBC,2017-02-19,5,Confirmed,7,2017
309729,VPZ,2016-10-30,1,Cancelled,43,2016
309731,VPZ,2017-01-25,1,Confirmed,4,2017
309742,SHR,2017-01-27,3,Confirmed,4,2017
309774,SLM,2017-02-20,4,Cancelled,8,2017
309775,SLM,2017-02-20,2,Confirmed,8,2017
309780,SOL,2017-02-19,1,Confirmed,7,2017
309781,SOL,2017-02-20,8,Confirmed,8,2017
309806,SMN,2017-02-10,1,Cancelled,6,2017
309858,NYCAA,2016-12-30,3,Cancelled,52,2016
309872,NYCAA,2017-02-10,5,Cancelled,6,2017
309908,BRC,2016-09-23,1,Cancelled,38,2016
309922,ALG,2017-02-20,26,Confirmed,8,2017
309936,BRC,2017-02-20,8,Confirmed,8,2017
309938,CLY,2017-02-17,3,Confirmed,7,2017
309962,CDL,2017-02-17,2,Confirmed,7,2017
309974,NYCAA,2017-02-14,6,Cancelled,7,2017
310010,LRN,2017-01-09,1,Confirmed,2,2017
310019,MNB,2017-02-18,4,Confirmed,7,2017
310039,MAD,2017-02-10,1,Cancelled,6,2017
310057,GLE,2017-02-13,1,Cancelled,7,2017
310075,GLE,2017-02-16,5,Confirmed,7,2017
310082,FAS,2017-01-20,2,Cancelled,3,2017
310086,FAS,2017-02-14,4,Confirmed,7,2017
310087,FAS,2017-02-10,2,Confirmed,6,2017
310088,FAS,2017-02-11,3,Cancelled,6,2017
310090,FAS,2017-02-09,2,Cancelled,6,2017
310121,GRY,2017-02-20,13,Cancelled,8,2017
310125,HEL,2017-01-18,3,Cancelled,3,2017
310131,LAXWM,2017-02-20,7,Confirmed,8,2017
310135,PRP,2017-02-04,2,Confirmed,5,2017
310145,PXP,2016-12-28,1,Cancelled,52,2016
310176,SEA,2017-02-06,3,Cancelled,6,2017
310194,RGE,2017-02-09,2,Confirmed,6,2017
310232,ONX,2017-02-21,12,Confirmed,8,2017
310281,TAC,2016-10-12,1,Cancelled,41,2016
310301,MIAVB,2017-02-21,1,Confirmed,8,2017
310302,MIAVB,2017-02-20,1,Confirmed,8,2017
310303,MIAVB,2017-02-19,4,Confirmed,7,2017
310314,VPZ,2017-02-18,2,Confirmed,7,2017
310316,VPZ,2017-02-01,1,Confirmed,5,2017
310325,SFOBC,2017-02-09,4,Cancelled,6,2017
310388,SOL,2017-02-21,4,Confirmed,8,2017
310409,DCP,2017-02-20,9,Cancelled,8,2017
310419,DCM,2017-02-05,7,Cancelled,5,2017
310422,CNR,2017-02-21,3,Confirmed,8,2017
310428,DMN,2017-02-13,4,Confirmed,7,2017
