,Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year
9759,LAXWP,2016-02-17,2,Confirmed,7,2016
9930,MIASS,2016-01-30,9,Confirmed,4,2016
9933,MIASS,2016-01-24,6,Confirmed,3,2016
9958,MIASS,2016-02-19,16,Cancelled,7,2016
9959,MIASS,2016-02-19,16,Confirmed,7,2016
10034,SFODR,2016-02-18,13,Confirmed,7,2016
10038,SFODR,2016-02-02,8,Cancelled,5,2016
10221,NYCIK,2016-02-16,7,Confirmed,7,2016
10222,NYCIK,2016-02-15,9,Cancelled,7,2016
10605,SFODR,2016-02-11,7,Cancelled,6,2016
10834,LAXWP,2016-02-15,4,Cancelled,7,2016
11059,NYCIK,2016-02-21,6,Cancelled,7,2016
11074,MIASS,2016-02-21,29,Confirmed,7,2016
11075,MIASS,2016-02-20,13,Cancelled,7,2016
11113,SFODR,2016-02-21,14,Confirmed,7,2016
11114,SFODR,2016-02-18,13,Cancelled,7,2016
11116,SFODR,2016-02-16,13,Confirmed,7,2016
11117,SFODR,2016-02-15,6,Confirmed,7,2016
11118,SFODR,2016-01-30,12,Cancelled,4,2016
11123,NYCIK,2016-02-20,5,Confirmed,7,2016
11241,NYCIK,2016-01-27,4,Confirmed,4,2016
11243,NYCIK,2016-01-12,4,Confirmed,2,2016
11392,MIASS,2016-02-20,13,Confirmed,7,2016
11431,SFODR,2016-02-22,7,Cancelled,8,2016
11556,LAXWP,2016-02-20,7,Confirmed,7,2016
11565,NYCIK,2016-02-19,4,Confirmed,7,2016
11566,NYCIK,2016-02-07,4,Confirmed,5,2016
11691,MIASS,2016-02-23,15,Confirmed,8,2016
11692,MIASS,2016-02-22,13,Confirmed,8,2016
11862,LAXWP,2016-02-22,6,Confirmed,8,2016
11988,MIASS,2016-02-24,22,Confirmed,8,2016
12047,SFODR,2016-02-19,5,Cancelled,7,2016
12253,NYCIK,2016-02-24,7,Confirmed,8,2016
12254,NYCIK,2016-02-23,9,Confirmed,8,2016
12255,NYCIK,2016-02-22,7,Confirmed,8,2016
12256,NYCIK,2016-02-21,6,Confirmed,7,2016
12259,NYCIK,2016-01-21,2,Cancelled,3,2016
12260,NYCIK,2016-01-18,3,Cancelled,3,2016
12340,SFODR,2016-01-09,14,Cancelled,1,2016
12368,SFODR,2016-02-25,9,Confirmed,8,2016
12369,SFODR,2016-02-23,16,Confirmed,8,2016
12372,SFODR,2016-02-19,5,Confirmed,7,2016
12375,SFODR,2016-02-02,8,Confirmed,5,2016
12769,NYCIK,2016-02-11,8,Cancelled,6,2016
12828,SFODR,2016-01-27,28,Confirmed,4,2016
12848,SFODR,2016-01-30,12,Confirmed,4,2016
12852,SFODR,2016-02-08,10,Cancelled,6,2016
12854,SFODR,2016-02-16,13,Cancelled,7,2016
12856,SFODR,2016-02-17,30,Cancelled,7,2016
12861,SFODR,2016-02-24,17,Confirmed,8,2016
12863,SFODR,2016-01-27,28,Cancelled,4,2016
12864,NYCIK,2016-02-14,2,Confirmed,6,2016
12917,NYCIK,2016-02-13,4,Confirmed,6,2016
13269,LAXWP,2016-02-27,5,Confirmed,8,2016
13343,MIASS,2016-02-23,15,Cancelled,8,2016
13352,MIASS,2016-02-26,18,Confirmed,8,2016
13467,SFODR,2016-02-17,30,Confirmed,7,2016
13473,SFODR,2016-02-26,7,Confirmed,8,2016
13745,LAXWP,2016-02-04,2,Cancelled,5,2016
13968,MIASS,2016-02-28,35,Cancelled,8,2016
13972,MIASS,2016-02-22,13,Cancelled,8,2016
13974,MIASS,2016-02-08,6,Confirmed,6,2016
14191,NYCIK,2016-02-27,4,Confirmed,8,2016
14365,MIASS,2016-02-25,14,Confirmed,8,2016
14366,MIASS,2016-02-21,29,Cancelled,7,2016
14369,SFODR,2016-02-29,8,Confirmed,9,2016
14457,LAXWP,2016-02-29,7,Confirmed,9,2016
14506,NYCIK,2016-02-17,6,Confirmed,7,2016
