Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year,month,,,Mnemonic Code
SEASM,1/12/2018,5,Confirmed,2,2018,1,,,
PSPNP,1/15/2018,2,Confirmed,3,2018,1,,,
SAVKB,1/14/2018,4,Confirmed,2,2018,1,,,
SANPR,1/11/2018,3,Cancelled,2,2018,1,,,
PITHM,1/15/2018,2,Confirmed,3,2018,1,,,
PITHM,1/12/2018,5,Cancelled,2,2018,1,,,
WDCTP,1/14/2018,1,Confirmed,2,2018,1,,,
WDCSV,1/16/2018,4,Confirmed,3,2018,1,,,
WDCSV,1/15/2018,2,Confirmed,3,2018,1,,,
WDCRO,1/15/2018,6,Cancelled,3,2018,1,,,
WDCRG,1/15/2018,2,Confirmed,3,2018,1,,,
WDCLR,1/15/2018,1,Confirmed,3,2018,1,,,
WDCDP,1/15/2018,7,Confirmed,3,2018,1,,,
PHLPP,1/15/2018,5,Confirmed,3,2018,1,,,
MIAVB,1/12/2018,2,Confirmed,2,2018,1,,,
MIAEP,1/15/2018,9,Confirmed,3,2018,1,,,
LAXWM,1/15/2018,1,Confirmed,3,2018,1,,,
DENBO,1/14/2018,2,Confirmed,2,2018,1,,,
DENBO,1/12/2018,4,Confirmed,2,2018,1,,,
DENBO,1/11/2018,2,Cancelled,2,2018,1,,,
BOSOX,1/12/2018,2,Cancelled,2,2018,1,,,
BOSML,1/16/2018,2,Confirmed,3,2018,1,,,
BALMN,1/15/2018,2,Confirmed,3,2018,1,,,
MKETJ,1/12/2018,2,Cancelled,2,2018,1,,,
PDXPR,1/15/2018,2,Cancelled,3,2018,1,,,
ORDTG,1/16/2018,2,Confirmed,3,2018,1,,,
ORDTG,1/16/2018,1,Cancelled,3,2018,1,,,
ORDTG,1/15/2018,4,Confirmed,3,2018,1,,,
ORDAL,1/11/2018,6,Cancelled,2,2018,1,,,
PHXPX,1/14/2018,3,Cancelled,2,2018,1,,,
PSPNP,1/16/2018,1,Confirmed,3,2018,1,,,
PHLPM,1/15/2018,8,Cancelled,3,2018,1,,,
PHXPX,1/16/2018,2,Confirmed,3,2018,1,,,
PITHM,1/15/2018,5,Cancelled,3,2018,1,,,
PSPNP,1/17/2018,5,Confirmed,3,2018,1,,,
ORDAL,1/16/2018,2,Confirmed,3,2018,1,,,
ORDCM,1/12/2018,7,Cancelled,2,2018,1,,,
WDCRG,1/16/2018,1,Confirmed,3,2018,1,,,
WDCSV,1/12/2018,6,Confirmed,2,2018,1,,,
SEAPD,1/16/2018,1,Confirmed,3,2018,1,,,
SANPR,1/14/2018,2,Confirmed,2,2018,1,,,
SMFKG,1/16/2018,3,Confirmed,3,2018,1,,,
