,Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year
25834,LAXWP,2018-03-25,4,Confirmed,12,2018
25966,NYCIK,2018-03-19,3,Cancelled,12,2018
25968,NYCIK,2018-03-17,8,Confirmed,11,2018
25969,NYCIK,2018-03-15,3,Cancelled,11,2018
25970,NYCIK,2018-03-03,1,Cancelled,9,2018
25971,NYCIK,2018-02-27,1,Cancelled,9,2018
25972,NYCIK,2018-02-26,2,Cancelled,9,2018
26095,MIASS,2018-03-10,3,Cancelled,10,2018
26314,LAXWP,2018-03-26,3,Confirmed,13,2018
26435,NYCIK,2018-03-12,2,Confirmed,11,2018
26524,MIASS,2018-03-26,1,Confirmed,13,2018
26820,NYCIK,2018-03-09,1,Cancelled,10,2018
26858,MIASS,2018-02-11,2,Confirmed,6,2018
26891,MIASS,2018-03-20,2,Confirmed,12,2018
27131,LAXWP,2018-02-21,3,Confirmed,8,2018
27202,NYCIK,2018-03-22,5,Confirmed,12,2018
27232,MIASS,2018-02-03,1,Cancelled,5,2018
27507,SFODR,2018-03-29,5,Confirmed,13,2018
27509,SFODR,2018-03-22,8,Cancelled,12,2018
27546,LAXWP,2018-03-29,3,Cancelled,13,2018
27639,NYCIK,2018-03-23,5,Confirmed,12,2018
27643,NYCIK,2018-03-16,3,Confirmed,11,2018
27648,NYCIK,2018-02-20,1,Cancelled,8,2018
28045,SFODR,2018-02-07,2,Confirmed,6,2018
28056,SFODR,2018-03-27,4,Confirmed,13,2018
28057,SFODR,2018-03-28,4,Cancelled,13,2018
28059,SFODR,2018-03-30,5,Confirmed,13,2018
28060,SFODR,2018-03-31,3,Cancelled,13,2018
28198,LAXWP,2018-03-09,3,Cancelled,10,2018
28203,LAXWP,2018-03-30,2,Confirmed,13,2018
28363,NYCIK,2018-02-15,1,Confirmed,7,2018
28374,NYCIK,2018-03-23,2,Cancelled,12,2018
28375,NYCIK,2018-03-24,2,Confirmed,12,2018
28376,NYCIK,2018-03-27,1,Cancelled,13,2018
28833,SFODR,2018-03-31,6,Confirmed,13,2018
28980,LAXWP,2018-03-26,1,Cancelled,13,2018
28981,LAXWP,2018-03-29,4,Confirmed,13,2018
29009,LAXWP,2018-01-18,1,Cancelled,3,2018
29136,NYCIK,2018-03-28,1,Cancelled,13,2018
29148,NYCIK,2018-02-13,2,Confirmed,7,2018
29220,MIASS,2018-01-20,1,Confirmed,3,2018
29232,MIASS,2018-03-28,2,Cancelled,13,2018
29491,SFODR,2018-03-24,3,Confirmed,12,2018
29583,LAXWP,2018-04-02,2,Cancelled,14,2018
29702,NYCIK,2018-03-14,2,Cancelled,11,2018
29728,NYCIK,2018-03-24,3,Cancelled,12,2018
29793,MIASS,2018-03-31,3,Cancelled,13,2018
30129,MIASS,2018-04-02,1,Cancelled,14,2018
30155,MIASS,2018-04-02,6,Confirmed,14,2018
30365,SFODR,2018-03-26,14,Cancelled,13,2018
30375,SFODR,2018-01-21,2,Cancelled,3,2018
30444,LAXWP,2018-03-08,2,Cancelled,10,2018
30463,LAXWP,2018-04-02,8,Confirmed,14,2018
30517,LAXWP,2018-04-03,1,Cancelled,14,2018
30544,LAXWP,2018-04-03,3,Confirmed,14,2018
30590,LAXWP,2018-04-04,1,Confirmed,14,2018
30602,MIASS,2018-03-31,4,Confirmed,13,2018
30780,SFODR,2018-04-05,4,Cancelled,14,2018
31328,LAXWP,2018-04-06,7,Confirmed,14,2018
31773,SFODR,2018-03-08,5,Cancelled,10,2018
31783,SFODR,2018-04-03,1,Confirmed,14,2018
31889,LAXWP,2018-02-25,1,Confirmed,8,2018
32018,NYCIK,2018-02-18,3,Cancelled,7,2018
32073,MIASS,2018-01-15,1,Cancelled,3,2018
32078,MIASS,2018-04-06,4,Confirmed,14,2018
32399,SFODR,2018-04-07,5,Confirmed,14,2018
32509,LAXWP,2018-04-07,5,Confirmed,14,2018
32526,LAXWP,2018-03-22,2,Cancelled,12,2018
32928,SFODR,2018-04-08,7,Confirmed,14,2018
32929,SFODR,2018-04-08,3,Cancelled,14,2018
32933,SFODR,2018-03-28,1,Confirmed,13,2018
32934,SFODR,2018-03-19,1,Cancelled,12,2018
33023,LAXWP,2018-04-08,3,Confirmed,14,2018
33027,NYCIK,2018-04-04,4,Confirmed,14,2018
33028,NYCIK,2018-04-03,2,Confirmed,14,2018
33096,MIASS,2018-04-07,5,Confirmed,14,2018
